os_500_iters_p,os_1000_iters_p,os_5000_iters_p,os_20000_iters_p,os_500_iters_eps_q,os_1000_iters_eps_q,os_5000_iters_eps_q,os_20000_iters_eps_q,sloan_500_iters_p,sloan_1000_iters_p,sloan_5000_iters_p,sloan_20000_iters_p,sloan_500_iters_eps_q,sloan_1000_iters_eps_q,sloan_5000_iters_eps_q,sloan_20000_iters_eps_q
0.001052564666666811,0.000523954500000201,0.00010395033333665538,2.524466666642411e-05,1.183790000025553e-06,6.135666666962081e-07,9.989999999460153e-08,1.9133333362120197e-08,8.468885000034732e-05,3.065250000133801e-05,1.0218166666575712e-05,0.0,1.7259019999993352e-05,8.178833333372104e-07,3.681666665977801e-08,0.0
0.0010523259999999368,0.0005238026666667395,0.00010390200000287564,2.5234666665596706e-05,1.1839599999841077e-06,6.137333332656425e-07,9.993333327518172e-08,1.9133333251097895e-08,8.490640000147209e-05,3.0624666667478095e-05,1.0230666667609967e-05,0.0,1.7259813333392326e-05,8.177333332692882e-07,3.6799999936221184e-08,0.0
0.001052080666664068,0.0005236441666642833,0.00010388099999936173,2.5224666664769302e-05,1.1842633333980501e-06,6.140333333459758e-07,1.0000000000287557e-07,1.920000003430289e-08,8.511728333182589e-05,3.0603500002612805e-05,1.0215666669921575e-05,0.0,1.7260473333335913e-05,8.177166666567537e-07,3.6800000047243486e-08,0.0
0.0010518253333309246,0.0005234756666663287,0.0001038500000003495,2.5218666666049216e-05,1.1845000000287875e-06,6.142666666986152e-07,1.0000000000287557e-07,1.9133333362120197e-08,8.531816666490499e-05,3.0592333335022204e-05,1.0210666669507873e-05,0.0,1.7261200000007193e-05,8.176333333165253e-07,3.6733333375060795e-08,0.0
0.001051563333330563,0.0005233004999993796,0.00010381233333234263,2.5207999998499986e-05,1.1848033333317076e-06,6.145666666679261e-07,1.0006666667505826e-07,1.9133333306609046e-08,8.551238333254219e-05,3.058783333642623e-05,1.021233333631244e-05,0.0,1.72618600000618e-05,8.176166666484797e-07,3.6733333375060795e-08,0.0
0.001051291333334703,0.0005231153333351557,0.00010376466666706108,2.5200666668112603e-05,1.1851733333623216e-06,6.149333333649309e-07,1.0020000001942364e-07,1.920000003430289e-08,8.569660000112833e-05,3.059333333332859e-05,1.0224000000391698e-05,0.0,1.7262453333333205e-05,8.176666666526167e-07,3.6800000047243486e-08,0.0
0.0010510093333326864,0.0005229201666665517,0.00010374133333179714,2.5187333333676065e-05,1.1855433333929355e-06,6.153000000064246e-07,1.0021666668746931e-07,1.920000003430289e-08,8.587081666533436e-05,3.060883333461106e-05,1.0211500002910157e-05,0.0,1.726304666666012e-05,8.177166666567537e-07,3.675000004310647e-08,0.0
0.0010507206666670044,0.0005227183333342822,0.00010371133333286764,2.5180666668234153e-05,1.1859133334235494e-06,6.156666667034294e-07,1.0023333341102614e-07,1.920000003430289e-08,8.603836666765119e-05,3.0630999999559094e-05,1.0205666667317814e-05,0.0,1.7263639999987035e-05,8.177666666608907e-07,3.67000000944806e-08,0.0
0.001050422000000495,0.0005225065000011853,0.00010367133333311074,2.517066666740675e-05,1.1863500000153238e-06,6.161000000171057e-07,1.0031666669574335e-07,1.926666670648558e-08,8.619591666736426e-05,3.0663166667110886e-05,1.0209833332552876e-05,0.0,1.7264166666697278e-05,8.178833333372104e-07,3.671666670701512e-08,0.0
0.0010501166666649908,0.0005222879999990937,0.00010362466666435921,2.5163999998412123e-05,1.1867866667181204e-06,6.165333333862932e-07,1.0040000003597171e-07,1.926666670648558e-08,8.63467999980827e-05,3.070200000188095e-05,1.022066666855892e-05,0.0,1.72646933332965e-05,8.180000000135301e-07,3.6733333375060795e-08,0.0
